sex,age,Age_class,race_class,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score,score_text,v_decile_score,v_score_text,priors_count,start,end,Reoffending_Likelihood
Female,57,Adult,Other,0,2,0,0,1,M,2,Low,1,Low,1,0,1054,1
Male,28,Adult,Other,0,6,0,0,3,M,6,Medium,3,Low,3,1,7,2
Male,32,Adult,Other,0,1,0,0,3,F,1,Low,2,Low,3,2,203,2
Male,27,Adult,Other,0,3,0,0,5,M,3,Low,2,Low,5,0,242,2
Male,45,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,2,108,2
Female,42,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,864,1
Male,33,Adult,Other,0,2,0,0,0,F,2,Low,1,Low,0,0,367,2
Male,26,Adult,White,0,4,0,0,4,M,4,Low,4,Low,4,0,781,1
Female,28,Adult,White,0,4,0,1,3,M,4,Low,3,Low,3,44,792,1
Female,53,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,844,1
Male,24,Young,White,0,2,0,0,0,F,2,Low,3,Low,0,0,1084,1
Male,28,Adult,Other,0,2,0,0,1,F,2,Low,2,Low,1,0,1151,1
Male,28,Adult,Other,0,5,0,0,1,F,5,Medium,4,Low,1,1,54,1
Male,39,Adult,Other,0,7,0,1,6,M,7,Medium,4,Low,6,35,87,2
Male,22,Young,Other,0,7,0,0,1,F,7,Medium,6,Medium,1,0,20,2
Male,46,Adult,Other,0,2,0,0,2,F,2,Low,2,Low,2,9,91,2
Male,25,Young,Other,0,2,0,0,0,M,2,Low,4,Low,0,1,847,1
Male,52,Adult,White,0,5,0,0,1,F,5,Medium,3,Low,1,0,953,1
Male,28,Adult,Other,0,2,0,0,4,M,2,Low,3,Low,4,0,20,2
Female,57,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,434,2
Male,49,Adult,Other,0,1,0,0,3,F,1,Low,1,Low,3,0,270,2
Male,21,Young,Other,0,9,0,0,2,F,9,High,6,Medium,2,0,49,2
Male,32,Adult,Other,0,10,0,0,19,F,10,High,10,High,19,14,140,2
Male,63,Adult,Other,0,9,0,0,3,M,9,High,1,Low,3,219,1116,1
Male,29,Adult,White,0,3,0,0,2,F,3,Low,3,Low,2,2,1165,1
Male,46,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,1,923,1
Male,23,Young,Other,0,10,0,0,5,F,10,High,8,High,5,0,63,2
Male,28,Adult,Other,0,7,0,0,10,M,7,Medium,5,Medium,10,0,68,2
Male,27,Adult,Other,0,2,0,0,1,F,2,Low,3,Low,1,0,590,1
Female,69,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,774,1
Male,47,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,732,1
Male,45,Adult,Other,0,3,0,0,1,F,3,Low,3,Low,1,127,1052,1
Female,33,Adult,White,0,1,0,0,1,M,1,Low,1,Low,1,0,798,1
Female,27,Adult,Other,0,2,0,0,0,M,2,Low,2,Low,0,1,344,2
Male,47,Adult,White,0,5,0,0,4,F,5,Medium,6,Medium,4,0,617,2
Male,32,Adult,Other,0,9,0,0,14,F,9,High,6,Medium,14,1,413,2
Male,24,Young,Other,0,7,0,0,2,F,7,Medium,5,Medium,2,0,317,1
Male,26,Adult,Other,0,10,0,0,5,F,10,High,8,High,5,2,78,2
Male,47,Adult,Other,0,4,0,0,0,M,4,Low,1,Low,0,0,907,1
Male,25,Young,White,0,5,0,0,1,F,5,Medium,3,Low,1,0,257,1
Male,21,Young,Other,0,8,0,0,1,F,8,High,7,Medium,1,108,860,1
Male,25,Young,Other,0,2,0,0,2,M,2,Low,3,Low,2,0,253,2
Male,22,Young,Other,1,7,1,0,6,F,7,Medium,5,Medium,6,1,103,2
Female,26,Adult,White,0,6,0,0,0,F,6,Medium,6,Medium,0,0,1170,1
Male,20,Young,White,0,4,0,0,0,F,4,Low,6,Medium,0,0,752,1
Male,30,Adult,Other,0,5,0,0,1,M,5,Medium,3,Low,1,1,317,2
Male,45,Adult,Other,0,5,0,0,0,F,5,Medium,4,Low,0,0,145,2
Male,33,Adult,Other,0,7,0,0,7,F,7,Medium,9,High,7,79,194,2
Male,35,Adult,White,0,1,0,0,2,F,1,Low,2,Low,2,0,787,1
Male,41,Adult,White,0,1,0,0,5,F,1,Low,1,Low,5,0,857,1
Male,23,Young,White,0,3,0,0,0,M,3,Low,5,Medium,0,2,1171,1
Female,21,Young,White,0,5,1,0,0,M,5,Medium,5,Medium,0,0,24,2
Male,54,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,1,1133,1
Male,27,Adult,Other,0,6,0,0,10,F,6,Medium,8,High,10,0,337,2
Male,22,Young,White,0,3,0,0,0,M,3,Low,5,Medium,0,0,97,1
Female,21,Young,Other,0,7,0,0,0,M,7,Medium,7,Medium,0,0,428,2
Male,23,Young,Other,0,6,0,0,2,F,6,Medium,5,Medium,2,5,13,2
Male,30,Adult,Other,0,1,0,0,1,M,1,Low,2,Low,1,0,836,1
Male,36,Adult,Other,0,8,0,0,5,M,8,High,3,Low,5,0,121,2
Female,24,Young,Other,0,6,0,0,2,F,6,Medium,3,Low,2,0,48,2
Male,29,Adult,Other,0,7,0,1,10,F,7,Medium,5,Medium,10,22,377,2
Male,54,Adult,Other,0,5,0,0,4,M,5,Medium,4,Low,4,78,79,2
Male,22,Young,White,0,5,0,0,2,M,5,Medium,6,Medium,2,13,179,2
Male,38,Adult,White,0,1,0,0,2,F,1,Low,1,Low,2,0,84,1
Male,26,Adult,Other,0,4,0,0,0,M,4,Low,3,Low,0,0,4,2
Female,20,Young,Other,0,4,0,0,0,F,4,Low,6,Medium,0,0,780,1
Male,56,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,1087,1
Male,52,Adult,Other,0,1,0,0,6,M,1,Low,1,Low,6,2,682,2
Male,29,Adult,Other,0,1,0,0,0,F,1,Low,2,Low,0,1,209,1
Female,23,Young,Other,0,7,0,0,6,M,7,Medium,5,Medium,6,0,837,1
Male,35,Adult,Other,0,1,0,0,1,M,1,Low,1,Low,1,8,800,1
Male,32,Adult,White,0,9,0,0,8,F,9,High,10,High,8,0,215,2
Male,21,Young,Other,0,7,0,0,1,M,7,Medium,6,Medium,1,0,30,2
Male,25,Young,Other,0,3,0,0,0,F,3,Low,6,Medium,0,0,906,1
Male,32,Adult,Other,0,2,1,0,5,M,2,Low,2,Low,5,0,674,2
Male,30,Adult,Other,0,4,0,0,4,M,4,Low,2,Low,4,0,219,2
Female,30,Adult,Other,0,4,0,0,3,F,4,Low,4,Low,3,25,810,1
Male,23,Young,Other,0,7,0,0,2,F,7,Medium,6,Medium,2,5,530,2
Male,32,Adult,White,1,4,0,0,8,F,4,Low,4,Low,8,0,877,1
Male,52,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,771,1
Male,29,Adult,Other,0,10,0,0,6,F,10,High,9,High,6,39,257,2
Male,42,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,959,1
Male,21,Young,Other,0,8,0,1,0,F,8,High,9,High,0,1,170,2
Female,36,Adult,White,0,9,0,0,4,F,9,High,3,Low,4,0,110,2
Female,22,Young,Other,0,3,0,0,0,M,3,Low,4,Low,0,0,816,1
Male,45,Adult,Other,0,1,0,0,2,F,1,Low,2,Low,2,46,1161,1
Male,29,Adult,Other,0,2,0,0,0,M,2,Low,3,Low,0,0,873,1
Male,54,Adult,Other,0,2,0,0,2,M,2,Low,3,Low,2,0,935,1
Male,30,Adult,Other,0,5,0,0,6,F,5,Medium,3,Low,6,2,132,2
Male,51,Adult,Other,0,4,0,0,17,M,4,Low,1,Low,17,0,891,1
Male,45,Adult,Other,0,3,0,0,20,F,3,Low,1,Low,20,2,703,2
Male,27,Adult,Other,0,3,0,0,3,F,3,Low,2,Low,3,0,85,2
Male,24,Young,Other,0,2,0,0,1,F,2,Low,4,Low,1,0,190,2
Male,24,Young,White,0,6,0,0,2,F,6,Medium,5,Medium,2,0,30,1
Male,23,Young,Other,0,7,0,0,2,M,7,Medium,6,Medium,2,4,1152,1
Female,42,Adult,Other,0,3,0,0,2,M,3,Low,2,Low,2,0,496,1
Male,36,Adult,Other,0,4,0,0,5,F,4,Low,2,Low,5,0,841,1
Female,38,Adult,Other,0,7,1,0,8,M,7,Medium,4,Low,8,0,386,2
Male,69,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,732,1
Male,21,Young,Other,0,5,0,1,1,F,5,Medium,6,Medium,1,0,528,2
Male,59,Adult,Other,0,1,0,0,1,M,1,Low,1,Low,1,0,1070,1
Male,39,Adult,Other,0,6,0,0,1,F,6,Medium,1,Low,1,0,808,1
Male,29,Adult,Other,0,6,0,0,2,F,6,Medium,3,Low,2,37,1061,1
Male,22,Young,Other,0,7,0,0,1,M,7,Medium,5,Medium,1,2,141,2
Male,28,Adult,Other,0,4,0,0,1,F,4,Low,6,Medium,1,0,775,1
Male,44,Adult,White,0,3,0,0,6,F,3,Low,1,Low,6,0,1106,1
Male,25,Young,Other,0,5,0,0,2,F,5,Medium,6,Medium,2,57,744,1
Male,31,Adult,Other,0,10,0,0,0,F,10,High,10,High,0,0,802,1
Male,35,Adult,Other,0,7,1,0,17,M,7,Medium,2,Low,17,1,39,2
Male,27,Adult,Other,0,10,0,0,11,M,10,High,9,High,11,1,0,2
Male,33,Adult,Other,0,5,0,0,1,F,5,Medium,4,Low,1,2,860,1
Male,28,Adult,Other,0,9,0,0,6,F,9,High,6,Medium,6,0,95,2
Male,20,Young,Other,1,10,0,1,1,F,10,High,10,High,1,0,24,2
Male,60,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,760,1
Male,53,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,1,803,1
Male,51,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,1,43,2
Male,25,Young,Other,0,2,0,0,1,F,2,Low,3,Low,1,0,842,1
Male,27,Adult,Other,2,7,1,0,5,F,7,Medium,8,High,5,0,75,2
Female,54,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,0,837,1
Female,26,Adult,Other,0,5,0,1,3,M,5,Medium,5,Medium,3,0,813,1
Male,24,Young,White,1,4,2,0,3,M,4,Low,5,Medium,3,1,758,1
Male,55,Adult,Other,0,2,0,0,1,F,2,Low,1,Low,1,1,22,2
Male,26,Adult,Other,0,3,0,0,0,F,3,Low,3,Low,0,1,49,1
Female,75,Adult,Other,0,1,0,0,5,F,1,Low,1,Low,5,0,974,1
Male,36,Adult,Other,0,5,0,0,16,F,5,Medium,3,Low,16,0,189,2
Male,56,Adult,Other,0,3,0,0,8,F,3,Low,3,Low,8,0,864,1
Male,34,Adult,Other,0,2,0,0,0,F,2,Low,2,Low,0,1,367,2
Female,25,Young,Other,0,7,0,0,5,M,7,Medium,7,Medium,5,46,86,2
Male,46,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,0,1103,1
Male,27,Adult,Other,0,2,0,0,1,F,2,Low,5,Medium,1,7,1168,1
Male,24,Young,Other,0,6,0,0,1,M,6,Medium,6,Medium,1,0,787,1
Male,28,Adult,Other,0,3,0,0,3,M,3,Low,2,Low,3,0,269,2
Male,42,Adult,Other,1,8,0,1,13,M,8,High,6,Medium,13,0,186,2
Male,59,Adult,Other,0,1,0,0,2,M,1,Low,1,Low,2,0,1068,1
Male,39,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,833,1
Male,46,Adult,White,0,4,0,0,5,M,4,Low,1,Low,5,11,1078,1
Male,25,Young,Other,0,2,0,0,1,F,2,Low,3,Low,1,0,1172,1
Male,55,Adult,White,0,1,0,0,2,F,1,Low,1,Low,2,1,925,1
Male,35,Adult,Other,0,10,0,0,1,M,10,High,5,Medium,1,0,58,2
Male,43,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,256,2
Female,53,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,1,785,1
Female,21,Young,Other,0,5,0,0,0,M,5,Medium,6,Medium,0,0,826,1
Male,55,Adult,Other,0,10,0,0,17,F,10,High,4,Low,17,25,419,2
Male,27,Adult,Other,0,3,0,0,1,F,3,Low,3,Low,1,0,56,2
Male,40,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,1,1089,1
Female,37,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,755,1
Male,32,Adult,White,0,2,0,0,2,M,2,Low,2,Low,2,4,86,2
Male,32,Adult,Other,0,2,0,0,2,M,2,Low,2,Low,2,1,965,1
Male,36,Adult,Other,0,5,0,0,4,M,5,Medium,3,Low,4,2,79,2
Male,22,Young,Other,0,3,0,0,0,M,3,Low,5,Medium,0,0,422,1
Female,31,Adult,Other,0,8,0,0,0,F,8,High,5,Medium,0,1,927,1
Female,26,Adult,Other,0,7,0,0,4,F,7,Medium,5,Medium,4,1,158,2
Female,50,Adult,White,0,6,0,0,30,M,6,Medium,3,Low,30,3,13,2
Male,47,Adult,Other,0,3,0,0,4,F,3,Low,2,Low,4,0,1098,1
Male,36,Adult,Other,0,3,0,0,2,F,3,Low,1,Low,2,0,491,1
Female,38,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,0,875,1
Male,35,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,1,750,1
Male,53,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,0,837,1
Male,53,Adult,Other,0,3,0,0,2,F,3,Low,1,Low,2,0,1118,1
Male,57,Adult,Other,0,7,0,0,19,F,7,Medium,4,Low,19,117,892,1
Male,22,Young,Other,0,8,0,0,5,F,8,High,5,Medium,5,18,194,2
Male,21,Young,Other,0,10,0,0,0,F,10,High,9,High,0,0,51,2
Male,26,Adult,Other,0,3,0,0,0,F,3,Low,3,Low,0,0,256,2
Female,24,Young,Other,0,3,0,0,1,F,3,Low,4,Low,1,0,279,1
Male,27,Adult,Other,0,5,0,0,2,F,5,Medium,4,Low,2,20,782,1
Female,49,Adult,White,0,5,0,0,4,F,5,Medium,1,Low,4,4,1042,1
Male,47,Adult,White,0,3,0,0,1,F,3,Low,1,Low,1,0,528,2
Male,30,Adult,Other,0,10,0,0,8,F,10,High,5,Medium,8,1,10,2
Male,44,Adult,White,0,1,0,0,3,F,1,Low,1,Low,3,0,1098,1
Male,34,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,1026,1
Male,45,Adult,Other,0,3,0,0,10,F,3,Low,1,Low,10,0,706,2
Male,38,Adult,Other,0,4,0,0,0,F,4,Low,5,Medium,0,0,840,1
Male,50,Adult,White,0,1,0,0,2,M,1,Low,1,Low,2,0,1184,1
Male,29,Adult,White,0,6,0,0,1,M,6,Medium,4,Low,1,0,745,1
Male,26,Adult,White,0,4,0,0,0,F,4,Low,4,Low,0,0,1070,1
Male,44,Adult,Other,0,1,0,0,2,M,1,Low,1,Low,2,0,854,1
Female,22,Young,Other,0,6,0,0,1,F,6,Medium,6,Medium,1,0,105,2
Male,47,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,1,1092,1
Male,49,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,0,867,1
Male,49,Adult,Other,0,3,0,0,1,F,3,Low,1,Low,1,19,76,2
Male,59,Adult,White,0,1,0,0,2,F,1,Low,1,Low,2,13,1107,1
Male,32,Adult,White,0,5,0,0,6,M,5,Medium,4,Low,6,0,861,1
Male,24,Young,Other,0,2,0,2,1,M,2,Low,4,Low,1,0,387,2
Male,40,Adult,Other,0,2,0,0,0,M,2,Low,1,Low,0,0,816,1
Male,32,Adult,Other,0,1,0,0,0,F,1,Low,2,Low,0,0,1154,1
Female,54,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,1047,1
Male,27,Adult,Other,0,10,0,1,9,F,10,High,5,Medium,9,0,28,2
Female,40,Adult,Other,0,1,0,0,1,M,1,Low,1,Low,1,0,1144,1
Male,25,Young,White,0,8,0,0,2,M,8,High,4,Low,2,12,525,1
Male,34,Adult,Other,0,6,0,0,1,M,6,Medium,7,Medium,1,0,1101,1
Female,62,Adult,White,0,1,0,0,2,F,1,Low,1,Low,2,0,138,2
Male,20,Young,White,0,5,0,0,0,M,5,Medium,6,Medium,0,0,29,2
Male,37,Adult,Other,2,9,0,0,18,M,9,High,9,High,18,0,51,1
Female,30,Adult,White,0,10,0,0,5,F,10,High,8,High,5,7,235,2
Male,23,Young,Other,0,6,0,0,1,F,6,Medium,6,Medium,1,1,278,2
Female,20,Young,Other,0,8,0,0,0,F,8,High,7,Medium,0,0,740,1
Male,29,Adult,White,0,7,0,0,7,M,7,Medium,6,Medium,7,0,99,2
Male,24,Young,Other,0,2,0,0,1,F,2,Low,3,Low,1,0,914,1
Female,54,Adult,White,0,3,0,0,1,M,3,Low,2,Low,1,0,815,1
Male,66,Adult,Other,0,1,0,0,3,F,1,Low,1,Low,3,0,101,1
Male,50,Adult,White,0,2,0,0,8,F,2,Low,5,Medium,8,0,1099,1
Male,50,Adult,Other,0,2,0,0,7,F,2,Low,1,Low,7,0,1151,1
Male,40,Adult,White,0,1,0,0,3,F,1,Low,1,Low,3,0,1077,1
Female,30,Adult,Other,0,7,0,0,4,M,7,Medium,6,Medium,4,0,213,2
Female,24,Young,White,0,7,0,0,2,F,7,Medium,5,Medium,2,1,170,1
Male,24,Young,Other,0,6,0,0,0,F,6,Medium,5,Medium,0,1,133,2
Female,23,Young,Other,0,5,0,0,3,F,5,Medium,3,Low,3,0,14,2
Male,24,Young,Other,0,8,0,0,4,M,8,High,5,Medium,4,0,77,2
Male,54,Adult,White,0,1,0,0,3,M,1,Low,1,Low,3,1,281,2
Male,25,Young,White,0,10,0,2,4,M,10,High,7,Medium,4,0,150,1
Male,46,Adult,White,0,1,0,0,1,M,1,Low,1,Low,1,0,980,1
Female,35,Adult,Other,0,8,0,0,10,F,8,High,5,Medium,10,0,851,1
Male,25,Young,Other,0,5,0,0,1,F,5,Medium,3,Low,1,265,1179,1
Female,22,Young,White,0,3,0,0,0,M,3,Low,4,Low,0,0,913,1
Female,32,Adult,White,0,2,0,0,1,F,2,Low,1,Low,1,1,840,1
Male,25,Young,Other,0,3,0,0,0,M,3,Low,4,Low,0,3,257,2
Male,22,Young,Other,0,8,0,0,3,F,8,High,7,Medium,3,0,50,2
Male,33,Adult,Other,0,9,0,0,16,F,9,High,3,Low,16,0,294,2
Female,49,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,127,2
Male,30,Adult,Other,0,5,0,0,10,F,5,Medium,7,Medium,10,0,92,1
Male,33,Adult,Other,0,5,0,0,4,M,5,Medium,6,Medium,4,1,65,2
Male,24,Young,Other,0,2,0,0,0,F,2,Low,3,Low,0,0,1184,1
Male,33,Adult,Other,0,9,0,1,12,M,9,High,7,Medium,12,1,135,2
Male,37,Adult,White,0,2,0,0,0,M,2,Low,1,Low,0,0,739,1
Female,40,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,815,1
Male,27,Adult,White,0,10,0,0,1,F,10,High,10,High,1,0,506,1
Male,43,Adult,Other,0,6,0,0,9,F,6,Medium,2,Low,9,0,2,2
Male,26,Adult,White,0,4,0,0,11,F,4,Low,3,Low,11,0,928,1
Male,35,Adult,Other,0,6,0,0,5,F,6,Medium,7,Medium,5,1,141,2
Male,25,Young,Other,0,9,1,0,11,F,9,High,8,High,11,6,142,2
Male,61,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,421,2
Male,53,Adult,White,0,6,0,0,1,F,6,Medium,2,Low,1,0,488,2
Female,27,Adult,Other,0,3,0,0,0,F,3,Low,3,Low,0,0,777,1
Female,52,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,1136,1
Male,26,Adult,White,0,9,0,0,7,M,9,High,7,Medium,7,0,54,2
Male,39,Adult,Other,0,2,0,0,1,M,2,Low,1,Low,1,0,134,2
Male,47,Adult,Other,0,4,0,0,5,F,4,Low,1,Low,5,0,759,1
Male,50,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,1148,1
Female,52,Adult,White,0,7,0,0,6,M,7,Medium,2,Low,6,33,1044,1
Female,41,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,1185,1
Male,37,Adult,White,0,1,0,0,0,M,1,Low,2,Low,0,0,788,1
Female,24,Young,Other,0,7,0,0,0,F,7,Medium,5,Medium,0,0,952,1
Female,34,Adult,Other,0,9,0,0,14,F,9,High,8,High,14,3,310,1
Male,24,Young,Other,0,6,0,0,5,F,6,Medium,4,Low,5,0,86,2
Male,20,Young,Other,0,4,0,0,0,M,4,Low,7,Medium,0,11,705,2
Male,25,Young,White,0,3,0,0,1,M,3,Low,3,Low,1,0,23,2
Male,31,Adult,White,0,5,0,0,3,M,5,Medium,7,Medium,3,0,161,1
Female,62,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,911,1
Male,23,Young,White,0,3,0,0,0,F,3,Low,5,Medium,0,0,337,2
Female,60,Adult,White,0,7,0,0,0,F,7,Medium,3,Low,0,13,1108,1
Male,35,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,760,1
Female,24,Young,Other,0,7,0,0,0,F,7,Medium,5,Medium,0,0,907,1
Female,56,Adult,White,0,2,0,0,1,F,2,Low,1,Low,1,0,226,2
Male,30,Adult,White,0,1,0,0,0,M,1,Low,2,Low,0,0,1071,1
Male,41,Adult,White,0,9,0,0,17,M,9,High,6,Medium,17,0,171,2
Male,35,Adult,White,0,5,0,0,4,F,5,Medium,2,Low,4,0,397,2
Female,28,Adult,White,0,4,0,0,0,M,4,Low,3,Low,0,0,835,1
Male,23,Young,Other,0,10,1,0,1,M,10,High,8,High,1,0,689,1
Male,56,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,0,912,1
Male,23,Young,Other,0,2,0,0,2,F,2,Low,3,Low,2,0,281,2
Male,20,Young,Other,0,3,0,0,0,F,3,Low,5,Medium,0,0,110,2
Male,37,Adult,Other,0,2,1,0,4,F,2,Low,2,Low,4,0,913,1
Male,23,Young,White,0,2,1,0,1,M,2,Low,4,Low,1,0,734,1
Male,21,Young,Other,0,9,0,0,0,F,9,High,9,High,0,2,39,2
Female,21,Young,Other,1,7,2,2,3,F,7,Medium,8,High,3,0,539,1
Female,35,Adult,Other,0,5,0,0,2,F,5,Medium,2,Low,2,13,938,1
Male,33,Adult,White,0,3,0,0,3,M,3,Low,3,Low,3,0,1098,1
Male,21,Young,Other,0,4,0,0,0,F,4,Low,6,Medium,0,3,843,1
Male,41,Adult,Other,2,9,1,0,9,M,9,High,5,Medium,9,0,894,1
Male,24,Young,Other,0,5,0,0,0,F,5,Medium,7,Medium,0,3,900,1
Male,20,Young,Other,0,10,0,0,2,F,10,High,10,High,2,0,8,2
Male,28,Adult,Other,0,8,0,0,9,F,8,High,4,Low,9,0,20,2
Male,25,Young,Other,0,9,0,0,7,F,9,High,6,Medium,7,1,764,1
Male,49,Adult,Other,0,2,0,0,3,F,2,Low,1,Low,3,1,1084,1
Female,22,Young,Other,0,6,0,0,0,F,6,Medium,6,Medium,0,0,1073,1
Male,21,Young,Other,0,3,0,0,0,F,3,Low,6,Medium,0,1,681,2
Female,27,Adult,Other,0,9,0,0,3,F,9,High,6,Medium,3,2,452,2
Male,32,Adult,Other,0,7,0,0,4,F,7,Medium,6,Medium,4,0,302,2
Male,50,Adult,Other,0,5,0,0,4,M,5,Medium,2,Low,4,0,827,1
Female,23,Young,Other,0,3,0,0,0,M,3,Low,3,Low,0,0,794,1
Male,34,Adult,White,0,4,0,0,0,M,4,Low,2,Low,0,0,817,1
Male,35,Adult,Other,0,4,0,0,1,M,4,Low,2,Low,1,0,1038,1
Male,25,Young,Other,0,5,0,1,4,F,5,Medium,4,Low,4,32,304,2
Female,33,Adult,White,0,5,0,0,2,F,5,Medium,2,Low,2,42,44,2
Male,25,Young,Other,0,4,0,0,1,M,4,Low,6,Medium,1,57,152,2
Male,30,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,880,1
Male,42,Adult,Other,0,2,0,0,0,M,2,Low,1,Low,0,2,1146,1
Female,29,Adult,White,0,10,0,0,11,F,10,High,5,Medium,11,32,58,2
Female,32,Adult,Other,0,4,0,0,6,F,4,Low,5,Medium,6,3,66,2
Male,24,Young,Other,0,6,0,0,5,F,6,Medium,5,Medium,5,0,912,1
Male,52,Adult,Other,0,1,0,0,3,F,1,Low,2,Low,3,0,411,1
Female,26,Adult,White,0,3,0,0,3,M,3,Low,3,Low,3,0,809,1
Male,31,Adult,White,0,3,0,0,2,F,3,Low,2,Low,2,0,55,2
Male,38,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,1,1097,1
Male,47,Adult,White,0,1,0,0,2,M,1,Low,1,Low,2,0,1092,1
Male,25,Young,Other,0,7,0,0,5,F,7,Medium,5,Medium,5,0,77,1
Female,30,Adult,White,0,5,0,0,0,F,5,Medium,2,Low,0,1,1114,1
Male,20,Young,Other,0,10,0,0,0,M,10,High,10,High,0,3,20,2
Female,29,Adult,Other,0,10,0,0,2,F,10,High,10,High,2,0,64,1
Male,24,Young,Other,0,3,0,0,0,F,3,Low,4,Low,0,0,1103,1
Male,31,Adult,White,0,4,0,0,0,F,4,Low,5,Medium,0,77,1135,1
Female,54,Adult,White,0,2,0,0,12,F,2,Low,1,Low,12,0,921,1
Female,37,Adult,White,0,3,0,0,1,M,3,Low,2,Low,1,0,1135,1
Male,43,Adult,Other,0,2,0,0,0,M,2,Low,1,Low,0,0,434,2
Male,49,Adult,White,0,6,0,0,8,F,6,Medium,2,Low,8,4,314,2
Female,33,Adult,Other,0,2,0,0,1,F,2,Low,2,Low,1,0,1129,1
Male,20,Young,Other,0,9,0,0,1,F,9,High,8,High,1,0,736,1
Male,42,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,80,1
Male,44,Adult,White,0,2,0,0,0,F,2,Low,3,Low,0,8,379,2
Male,28,Adult,Other,0,6,0,0,5,F,6,Medium,5,Medium,5,50,261,2
Male,32,Adult,Other,0,6,0,0,4,F,6,Medium,7,Medium,4,672,750,2
Male,28,Adult,Other,0,7,0,0,7,F,7,Medium,6,Medium,7,1,18,2
Male,38,Adult,White,0,4,0,0,0,F,4,Low,2,Low,0,158,1142,1
Male,38,Adult,Other,0,4,0,0,3,F,4,Low,1,Low,3,0,1148,1
Male,21,Young,White,0,4,0,0,1,F,4,Low,5,Medium,1,0,758,1
Female,34,Adult,Other,0,3,0,0,0,M,3,Low,2,Low,0,0,803,1
Male,21,Young,White,0,6,0,0,1,F,6,Medium,6,Medium,1,0,306,2
Male,36,Adult,Other,0,8,0,0,1,F,8,High,4,Low,1,30,39,2
Male,29,Adult,Other,0,2,0,0,0,M,2,Low,2,Low,0,0,54,2
Male,34,Adult,Other,0,6,0,1,3,F,6,Medium,3,Low,3,0,118,2
Male,38,Adult,Other,0,2,0,0,1,M,2,Low,2,Low,1,7,1134,1
Male,36,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,24,863,1
Male,32,Adult,Other,0,2,0,0,0,M,2,Low,2,Low,0,0,819,1
Male,23,Young,Other,0,9,0,0,0,M,9,High,8,High,0,0,1045,1
Male,47,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,923,1
Male,20,Young,Other,0,3,0,0,0,F,3,Low,6,Medium,0,0,886,1
Female,25,Young,Other,0,8,0,0,2,F,8,High,8,High,2,0,423,2
Male,35,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,882,1
Female,30,Adult,White,0,3,0,0,1,F,3,Low,2,Low,1,0,904,1
Female,28,Adult,White,0,4,0,0,1,M,4,Low,4,Low,1,0,778,1
Male,30,Adult,White,0,8,0,0,2,M,8,High,2,Low,2,0,38,2
